post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,meta:BigRepairShopCustomerAccount_have_wholesale_price,meta:BigRepairShopCustomerAccount_wholesale_minimum_order_quantity,meta:BigRepairShopCustomerAccount_wholesale_order_quantity_step,meta:BigRepairShopCustomerAccount_wholesale_price,meta:BigRepairShopCustomerAccount_wholesale_sale_price,meta:BigRepairShopCustomerAccount_wholesale_sale_price_dates_from,meta:BigRepairShopCustomerAccount_wholesale_sale_price_dates_to,meta:Price_RMB,meta:Purchase_Price,meta:Purchase_Price2,meta:SmallRepairShopCustomerAccount_have_wholesale_price,meta:SmallRepairShopCustomerAccount_wholesale_minimum_order_quantity,meta:SmallRepairShopCustomerAccount_wholesale_order_quantity_step,meta:SmallRepairShopCustomerAccount_wholesale_price,meta:SmallRepairShopCustomerAccount_wholesale_sale_price,meta:SmallRepairShopCustomerAccount_wholesale_sale_price_dates_from,meta:SmallRepairShopCustomerAccount_wholesale_sale_price_dates_to,meta:Wholesale_Customer,meta:atum_purchase_price,meta:custom_badges_text,meta:mf_pbt_product_ids,meta:partner_customerpp_have_wholesale_price,meta:partner_customerpp_wholesale_minimum_order_quantity,meta:partner_customerpp_wholesale_order_quantity_step,meta:partner_customerpp_wholesale_price,meta:partner_customerpp_wholesale_sale_price,meta:partner_customerpp_wholesale_sale_price_dates_from,meta:partner_customerpp_wholesale_sale_price_dates_to,meta:price_in_rmb,meta:product_features_desc,meta:total_sales,meta:video_position,meta:wc_cog_cost,meta:wc_cog_cost_or_purchase_price,meta:wholesale_customer_have_wholesale_price,meta:wholesale_customer_wholesale_minimum_order_quantity,meta:wholesale_customer_wholesale_order_quantity_step,meta:wholesale_customer_wholesale_price,meta:wholesale_customer_wholesale_sale_price,meta:wholesale_customer_wholesale_sale_price_dates_from,meta:wholesale_customer_wholesale_sale_price_dates_to,meta:woocommerce_position_meta,meta:wwp_data,meta:wwpp_ignore_cat_level_wholesale_discount,meta:wwpp_ignore_role_level_wholesale_discount,meta:wwpp_post_meta_enable_quantity_discount_rule,meta:wwpp_product_hash,meta:wwpp_product_wholesale_visibility_filter,attribute:pa_branding,attribute_data:pa_branding,attribute_default:pa_branding,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_ean,attribute_data:pa_ean,attribute_default:pa_ean,attribute:pa_filter,attribute_data:pa_filter,attribute_default:pa_filter,attribute:pa_filter-for-cases,attribute_data:pa_filter-for-cases,attribute_default:pa_filter-for-cases,attribute:pa_filter-for-huawei-tempered,attribute_data:pa_filter-for-huawei-tempered,attribute_default:pa_filter-for-huawei-tempered,attribute:pa_filter-for-iwatch-bands,attribute_data:pa_filter-for-iwatch-bands,attribute_default:pa_filter-for-iwatch-bands,attribute:pa_filter-for-iwatch-protection,attribute_data:pa_filter-for-iwatch-protection,attribute_default:pa_filter-for-iwatch-protection,attribute:pa_filter-for-leather-case,attribute_data:pa_filter-for-leather-case,attribute_default:pa_filter-for-leather-case,attribute:pa_filter-for-samsung-cases,attribute_data:pa_filter-for-samsung-cases,attribute_default:pa_filter-for-samsung-cases,attribute:pa_filter-for-samsung-tempered,attribute_data:pa_filter-for-samsung-tempered,attribute_default:pa_filter-for-samsung-tempered,attribute:pa_filter-for-silicone-case,attribute_data:pa_filter-for-silicone-case,attribute_default:pa_filter-for-silicone-case,attribute:pa_filter-for-tempered-glass,attribute_data:pa_filter-for-tempered-glass,attribute_default:pa_filter-for-tempered-glass,attribute:pa_filter-for-xiaomi-tempered,attribute_data:pa_filter-for-xiaomi-tempered,attribute_default:pa_filter-for-xiaomi-tempered,attribute:pa_hscode,attribute_data:pa_hscode,attribute_default:pa_hscode,attribute:pa_master-filter,attribute_data:pa_master-filter,attribute_default:pa_master-filter,attribute:pa_part-category,attribute_data:pa_part-category,attribute_default:pa_part-category,attribute:pa_privacy-filter,attribute_data:pa_privacy-filter,attribute_default:pa_privacy-filter,attribute:pa_quality,attribute_data:pa_quality,attribute_default:pa_quality,attribute:pa_website-filter,attribute_data:pa_website-filter,attribute_default:pa_website-filter,meta:_atum_attachments,meta:_download_expiry,meta:_download_limit,meta:_downloadable,meta:_is_new,meta:_product_version,meta:_purchase_note,meta:_purchase_price,meta:_sale_price_dates_to,meta:_sold_individually,meta:_tax_class,meta:_tax_status,meta:_wc_average_rating,meta:_wc_review_count,meta:_wcml_custom_prices_status,meta:_woocs_price_user_role_name,meta:_woocs_regular_price_user_role,meta:_woocs_sale_price_user_role,meta:_wp_page_template,meta:_wwof_variations_cache_version,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_primary_product_cat
"Complete LCD Display Assembly For Macbook Pro Retina 15"" (A1398: Mid 2012 / Early 2013)",complete-lcd-display-assembly-for-macbook-pro-retina-15-a1398-mid-2012-early-2013-used-oem-pull-cosmetic-grade-b,,24636,,,publish,,30,"2021-02-05 06:08:37",47,open,MP13981503,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/Macbook-Pro-16_-17.png ! alt :  ! title : Macbook Pro 16_ (17) ! desc :  ! caption : ",,https://ferrytelecom.com/product/complete-lcd-display-assembly-for-macbook-pro-retina-15-a1398-mid-2012-early-2013-used-oem-pull-cosmetic-grade-b/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Retina (A1398) > MacBook Pro Retina 15 (A1398, Early 2013)|APPLE PARTS > Macbook Pro > MacBook Pro Retina (A1398) > MacBook Pro Retina 15 (A1398, Mid 2012)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,60287906de9219.32728694,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCD/Display,0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Complete LCD Display Assembly For Macbook Pro Retina 15"" (A1398: Late 2013 / Mid 2014)",complete-lcd-display-assembly-for-macbook-pro-retina-15-a1398-late-2013-mid-2014-used-oem-pull-cosmetic-grade-b,,24637,,,publish,,20,"2021-02-05 06:08:37",47,open,MP13981502,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/Macbook-Pro-16_-16.png ! alt :  ! title : Macbook Pro 16_ (16) ! desc :  ! caption : ",,https://ferrytelecom.com/product/complete-lcd-display-assembly-for-macbook-pro-retina-15-a1398-late-2013-mid-2014-used-oem-pull-cosmetic-grade-b/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Retina (A1398) > MacBook Pro Retina 15 (A1398, Late 2013)|APPLE PARTS > Macbook Pro > MacBook Pro Retina (A1398) > MacBook Pro Retina 15 (A1398, Mid 2014)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,60287906620a09.40374328,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCD/Display,0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Complete LCD Display Assembly For Macbook Pro Retina 15"" (A1398 / Mid 2015)",complete-lcd-display-assembly-for-macbook-pro-retina-15-a1398-mid-2015-used-oem-pull-cosmetic-grade-b,,24638,,,publish,,10,"2021-02-05 06:08:37",47,open,MP13981501,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/Macbook-Pro-16_-15.png ! alt :  ! title : Macbook Pro 16_ (15) ! desc :  ! caption : ",,https://ferrytelecom.com/product/complete-lcd-display-assembly-for-macbook-pro-retina-15-a1398-mid-2015-used-oem-pull-cosmetic-grade-b/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Retina (A1398) > MacBook Pro Retina 15 (A1398, Mid 2015)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,60287905cd0cf5.04464483,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCD/Display,0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Tester Cable (Touch Bar) For Macbook Pro 15"" / 13"" W/ Touch Bar (A1706 / A1707 / A1989 / A1990 , Late 2016 / Mid 2017 / Late 2018 / Early 2019)",tester-cable-touch-bar-for-macbook-pro-15-13-w-touch-bar-a1706-a1707-a1989-a1990-late-2016-mid-2017-late-2018-early-2019,,24725,,,publish,,350,"2021-02-05 06:36:40",47,open,MP170613036,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,,,https://ferrytelecom.com/product/tester-cable-touch-bar-for-macbook-pro-15-13-w-touch-bar-a1706-a1707-a1989-a1990-late-2016-mid-2017-late-2018-early-2019/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1989)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 15 inch (A1707)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 15 inch (A1990) > MACBOOK PRO TOUCH BAR 15"" (A1990, EARLY 2019)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 15 inch (A1990) > MACBOOK PRO TOUCH BAR 15"" (A1990, LATE 2018)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,6028797716e239.49616807,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Parts",0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Tester Cable (Keyboard) For Macbook Pro 15"" / 13"" W/ Touch Bar (A1706 / A1707 , Late 2016 / Mid 2017)",tester-cable-keyboard-for-macbook-pro-15-13-w-touch-bar-a1706-a1707-late-2016-mid-2017,,24726,,,publish,,340,"2021-02-05 06:36:40",47,open,MP170613035,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,,,https://ferrytelecom.com/product/tester-cable-keyboard-for-macbook-pro-15-13-w-touch-bar-a1706-a1707-late-2016-mid-2017/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 15 inch (A1707)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 15 inch (A1707) > MACBOOK PRO TOUCH BAR 15 (A1707, LATE 2016)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 15 inch (A1707) > MACBOOK PRO TOUCH BAR 15 (A1707, MID 2017)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,602879768e97a3.70923992,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyboard,0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Full Set Small Metal Bracket For Macbook Pro 13"" W/ Touch Bar (A1706/Late 2016/Mid 2017)",full-set-small-metal-bracket-for-macbook-pro-13-w-touch-bar-a1706-late-2016-mid-2017,,24727,,,publish,,330,"2021-02-05 06:36:41",47,open,MP170613034,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,,,https://ferrytelecom.com/product/full-set-small-metal-bracket-for-macbook-pro-13-w-touch-bar-a1706-late-2016-mid-2017/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, LATE 2016)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, MID 2017)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,60287975f2a643.15797875,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Parts",0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Keycap For Macbook Pro 15"" / 13"" W/ Touch Bar (A1706 / A1707 , Late 2016 / Mid 2017) (Us)",keycap-for-macbook-pro-15-13-w-touch-bar-a1706-a1707-late-2016-mid-2017-us,,24728,,,publish,,320,"2021-02-05 06:36:41",47,open,MP170613033,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,,,https://ferrytelecom.com/product/keycap-for-macbook-pro-15-13-w-touch-bar-a1706-a1707-late-2016-mid-2017-us/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 15 inch (A1707) > MACBOOK PRO TOUCH BAR 15 (A1707, LATE 2016)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 15 inch (A1707) > MACBOOK PRO TOUCH BAR 15 (A1707, MID 2017)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,6028797577f807.68119575,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Parts",0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Keycap For Macbook Pro 15"" / 13"" W/ Touch Bar (A1706 / A1707 , Late 2016 / Mid 2017) (Uk)",keycap-for-macbook-pro-15-13-w-touch-bar-a1706-a1707-late-2016-mid-2017-uk,,24729,,,publish,,310,"2021-02-05 06:36:41",47,open,MP170613032,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,,,https://ferrytelecom.com/product/keycap-for-macbook-pro-15-13-w-touch-bar-a1706-a1707-late-2016-mid-2017-uk/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 15 inch (A1707) > MACBOOK PRO TOUCH BAR 15 (A1707, LATE 2016)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 15 inch (A1707) > MACBOOK PRO TOUCH BAR 15 (A1707, MID 2017)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,60287974ea57a7.15608192,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Parts",0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Left Usb Board For Macbook Pro 13"" W/ Touch Bar (A1706 / Late 2016)",left-usb-board-for-macbook-pro-13-w-touch-bar-a1706-late-2016,,24730,,,publish,,300,"2021-02-05 06:36:41",47,open,MP170613031,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/capture_20210205141454478.jpg ! alt :  ! title : capture_20210205141454478 ! desc :  ! caption : ",,https://ferrytelecom.com/product/left-usb-board-for-macbook-pro-13-w-touch-bar-a1706-late-2016/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, LATE 2016)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,6.028.797.469.224.470.000.000,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Parts",0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Right Usb Board For Macbook Pro 13"" W/ Touch Bar (A1706 / Late 2016)",right-usb-board-for-macbook-pro-13-w-touch-bar-a1706-late-2016,,24731,,,publish,,290,"2021-02-05 06:36:41",47,open,MP170613030,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/capture_20210205141413223.jpg ! alt :  ! title : capture_20210205141413223 ! desc :  ! caption : ",,https://ferrytelecom.com/product/right-usb-board-for-macbook-pro-13-w-touch-bar-a1706-late-2016/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, LATE 2016)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,60287973d81a08.34147855,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Parts",0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Vent And Antenna For Macbook Pro 13"" W/ Touch Bar (A1706/Late 2016/Mid 2017) (A1989 Late 2018/Early 2019)",vent-and-antenna-for-macbook-pro-13-w-touch-bar-a1706-late-2016-mid-2017-a1989-late-2018-early-2019,,24732,,,publish,,280,"2021-02-05 06:36:42",47,open,MP170613029,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/capture_20210205141325850.jpg ! alt :  ! title : capture_20210205141325850 ! desc :  ! caption : ",,https://ferrytelecom.com/product/vent-and-antenna-for-macbook-pro-13-w-touch-bar-a1706-late-2016-mid-2017-a1989-late-2018-early-2019/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, LATE 2016)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, MID 2017)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1989) > MACBOOK PRO TOUCH BAR 13 (A1989, EARLY 2019)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1989) > MACBOOK PRO TOUCH BAR 13 (A1989, LATE 2018)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,6.028.797.366.150.230.000.000,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Parts",0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Headphone Jack For Macbook Pro 13"" W/ Touch Bar (A1706 / Late 2016 / Mid 2017) (Space Gray)",headphone-jack-for-macbook-pro-13-w-touch-bar-a1706-late-2016-mid-2017-space-gray,,24733,,,publish,,270,"2021-02-05 06:36:42",47,open,MP170613028,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/capture_20210205141305046.jpg ! alt :  ! title : capture_20210205141305046 ! desc :  ! caption : ",,https://ferrytelecom.com/product/headphone-jack-for-macbook-pro-13-w-touch-bar-a1706-late-2016-mid-2017-space-gray/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, LATE 2016)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, MID 2017)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,60287972d3ade7.35615748,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Parts",0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Microphone Flex Cable For Macbook Pro 13"" W/ Touch Bar (A1706/Late 2016/Mid 2017)",microphone-flex-cable-for-macbook-pro-13-w-touch-bar-a1706-late-2016-mid-2017,,24734,,,publish,,260,"2021-02-05 06:36:42",47,open,MP170613027,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/capture_20210205141224208.jpg ! alt :  ! title : capture_20210205141224208 ! desc :  ! caption : ",,https://ferrytelecom.com/product/microphone-flex-cable-for-macbook-pro-13-w-touch-bar-a1706-late-2016-mid-2017/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, LATE 2016)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, MID 2017)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,602879724fc9c4.58443877,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Parts",0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Power Button Cable For Macbook Pro 13"" W/ Touch Bar (A1706 / Late 2016 / Mid 2017)",power-button-cable-for-macbook-pro-13-w-touch-bar-a1706-late-2016-mid-2017,,24735,,,publish,,250,"2021-02-05 06:36:45",47,open,MP170613026,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/capture_20210205141159818.jpg ! alt :  ! title : capture_20210205141159818 ! desc :  ! caption : ",,https://ferrytelecom.com/product/power-button-cable-for-macbook-pro-13-w-touch-bar-a1706-late-2016-mid-2017/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, LATE 2016)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, MID 2017)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,60287971c8b523.22004919,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Small Parts",0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Left Loudspeaker For Macbook Pro 13"" Retina W/ Touch Bar (A1706/Late 2016/Mid 2017)",left-loudspeaker-for-macbook-pro-13-retina-w-touch-bar-a1706-late-2016-mid-2017,,24737,,,publish,,240,"2021-02-05 06:36:46",47,open,MP170613024,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/capture_20210205140932539.jpg ! alt :  ! title : capture_20210205140932539 ! desc :  ! caption : ",,https://ferrytelecom.com/product/left-loudspeaker-for-macbook-pro-13-retina-w-touch-bar-a1706-late-2016-mid-2017/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, LATE 2016)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706) > MACBOOK PRO TOUCH BAR 13 (A1706, MID 2017)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,6028797155ead3.84801090,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Speaker,0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Right Internal Speaker For Macbook Pro 13"" W/ Touch Bar (A1706 / A1989 / A2251: Late 2016 To 2020)",right-internal-speaker-for-macbook-pro-13-w-touch-bar-a1706-a1989-a2251-late-2016-to-2020,,24738,,,publish,,230,"2021-02-05 06:36:46",47,open,MP170613023,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/capture_20210205140817723.jpg ! alt :  ! title : capture_20210205140817723 ! desc :  ! caption : ",,https://ferrytelecom.com/product/right-internal-speaker-for-macbook-pro-13-w-touch-bar-a1706-a1989-a2251-late-2016-to-2020/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro 13 inch (A2251) > MACBOOK PRO 13 (A2251, MID 2020)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1989)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,60287970b1d0d9.14695618,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Speaker,0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
"Left Internal Speaker For Macbook Pro 13"" W/ Touch Bar (A1706 / A1989 / A2251: Late 2016 To 2020)",left-internal-speaker-for-macbook-pro-13-w-touch-bar-a1706-a1989-a2251-late-2016-to-2020,,24739,,,publish,,220,"2021-02-05 06:36:46",47,open,MP170613022,,,no,no,,0.01,,,,,,,outofstock,no,no,,no,taxable,,,,,,,0,0,,,"https://ferrytelecom.com/wp-content/uploads/2021/02/capture_20210205140714824.jpg ! alt :  ! title : capture_20210205140714824 ! desc :  ! caption : ",,https://ferrytelecom.com/product/left-internal-speaker-for-macbook-pro-13-w-touch-bar-a1706-a1989-a2251-late-2016-to-2020/,,simple,outofstock,"APPLE PARTS > Macbook Pro > MacBook Pro 13 inch (A2251)|APPLE PARTS > Macbook Pro > MacBook Pro 13 inch (A2251) > MACBOOK PRO 13 (A2251, MID 2020)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1706)|APPLE PARTS > Macbook Pro > MacBook Pro Touch Bar 13 inch (A1989)",,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.00,,,,,,0,,,,,,,,,,,,,,,,6.028.797.003.901.690.000.000,all,,,,,,,,,,,0|0|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Speaker,0|1|0,,,,,,,,,,,,,,,,,no,,9.6.1,,,,no,,taxable,0,0,,,,,,,,,
